Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
Capita TfL GB;PCN-J009-DAS18;PCN-J009-DAS18 | Sector 18 | BTS Hotel;TFLGB-PCN-J009-DAS18;PCN-J009-DAS18;Priority_1;London;DAU;Canada Water;SOLiD;SOLiD DAU;BTS Hotel;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 18;;Deployed;;
Capita TfL GB;PCN-J009-DAS1;PCN-J009-DAS1 | Sector 1 | BTS Hotel;TFLG-PCN-J009-DAS1;PCN-J009-DAS1;Priority_1;London;DAU;Canada Water;SOLiD;SOLiD DAU;BTS Hotel;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 1;;Deployed;;
Capita TfL GB;PCN-J009-DAS10;PCN-J009-DAS10 | Sector 10 | BTS Hotel;TFLGB-PCN-J009-DAS10;PCN-J009-DAS10;Priority_1;London;DAU;Canada Water;SOLiD;SOLiD DAU;BTS Hotel;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 10;;Deployed;;
Capita TfL GB;PCN-J024-J-EBLO-HRN-001M;PCN-J024-J-EBLO-HRN-001M | Sector 4 | East Tunnel;TFLGB-PCN-J024-J-EBLO-HRN-001M;PCN-J024-J-EBLO-HRN-001M;Priority_5;London;HRN;Westminster;SOLiD;SOLiD HRN;East Tunnel;TFLGB-J024;RAN;Multi Techno;Repeater, Transcoder;Sector 4;;Deployed;;
Capita TfL GB;PCN-D101-LRN-45S;PCN-D101-LRN-45S | Sector 1 | Platform 3;TFLGB-PCN-D101-LRN-45S;PCN-D101-LRN-45S;Priority_5;London;LRN;Westminster;SOLiD;SOLiD LRN;Platform 3;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 1;;Deployed;;
Capita TfL GB;PCN-D101-HCU-ZDC6-S2;PCN-D101-HCU-ZDC6-S2 | Sector 1 | Platform 3;TFLGB-PCN-D101-HCU-ZDC6-S2;PCN-D101-HCU-ZDC6-S2;Priority_5;London;HCU;Westminster;SOLiD;SOLiD HCU;Platform 3;TFLGB-D101;RAN;Multi Techno;Repeater, Transcoder;Sector 1;;Deployed;;
Capita TfL GB;PCN-J005-HCU-ZDC6-S;PCN-J005-HCU-ZDC6-S | Sector 31 | Platform;TFLGB-PCN-J005-HCU-ZDC6-S;PCN-J005-HCU-ZDC6-S;Priority_5;London;HCU;North Greenwhich;SOLiD;SOLiD HCU;Platform;TFLGB-J005;RAN;Multi Techno;Repeater, Transcoder;Sector 31;;Deployed;;
Capita TfL GB;PCN-J009-DAS13;PCN-J009-DAS13 | Sector 13 | BTS Hotel;TFLGB-PCN-J009-DAS13;PCN-J009-DAS13;Priority_1;London;DAU;Canada Water;SOLiD;SOLiD DAU;BTS Hotel;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 13;;Deployed;;
Capita TfL GB;PCN-J009-DAS21;PCN-J009-DAS21 | Sector 21 | BTS Hotel;TFLGB-PCN-J009-DAS21;PCN-J009-DAS21;Priority_1;London;DAU;Canada Water;SOLiD;SOLiD DAU;BTS Hotel;TFLGB-J009;RAN;Multi Techno;Repeater, Transcoder;Sector 21;;Deployed;;
Capita TfL GB;PCN-J007-LRN-20S;PCN-J007-LRN-20S | Sector 27 | Platform 1;TFLGB-PCN-J007-LRN-20S;PCN-J007-LRN-20S;Priority_5;London;LRN;Canary Wharf;SOLiD;SOLiD LRN;Platform 1;TFLGB-J007;RAN;Multi Techno;Repeater, Transcoder;Sector 27;;Deployed;;
