Company;CI Name;CI Description;Domain;DNS Host Name;Priority;Region;System Role;Site Group;Manufacturer;Product Name;Additional Information;Site;Tier 1;Tier 2;Tier 3;Tag Number;NbrCells;Status;CI ID;Model Version
EMTS NG;B3319-B3510;B3319-B3510 | Ibadan;.;B3319-B3510;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3319;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5997-B4701;B5997-B4701 | Ilorin;.;B5997-B4701;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-5997;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5667-B3848;B5667-B3848 | Ilorin;.;B5667-B3848;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-5667;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4021-B4019;B4021-B4019 | Ibadan;.;B4021-B4019;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4021;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3580-B4537;B3580-B4537 | Benin;.;B3580-B4537;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-3580;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3325-B3407;B3325-B3407 | Ibadan;.;B3325-B3407;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3325;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4077-B4124;B4077-B4124 | Ibadan;.;B4077-B4124;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-4077;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5535-B4701;B5535-B4701 | Ilorin;.;B5535-B4701;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-5535;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5990-B3812;B5990-B3812 | Ibadan;.;B5990-B3812;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MXC;;EMT-5990;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4164-B5545;B4164-B5545 | Ilorin;.;B4164-B5545;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-4164;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4202-B4305;B4202-B4305 | Benin;.;B4202-B4305;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4202;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5763-B3311;B5763-B3311 | Ibadan;.;B5763-B3311;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-5763;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3806-B3805;B3806-B3805 | Ilorin;.;B3806-B3805;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-3806;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3648-B5501;B3648-B5501 | Ibadan;.;B3648-B5501;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3648;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5877-B4207;B5877-B4207 | Benin;.;B5877-B4207;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-5877;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3345-B3428;B3345-B3428 | Ibadan;.;B3345-B3428;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-3345;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4781-B4320;B4781-B4320 | Benin;.;B4781-B4320;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4781;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3424-B3366;B3424-B3366 | Ibadan;.;B3424-B3366;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3424;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3604-B3603;B3604-B3603 | Ilorin;.;B3604-B3603;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-3604;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5578-B5577;B5578-B5577 | Ilorin;.;B5578-B5577;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-5578;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4728-B4766;B4728-B4766 | Ilorin;.;B4728-B4766;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-4728;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B0458-B4538;B0458-B4538 | Benin;.;B0458-B4538;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-0458;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3476-B5840;B3476-B5840 | Ibadan;.;B3476-B5840;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3476;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5552-B5990;B5552-B5990 | Benin;.;B5552-B5990;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-5552;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5659-B5533;B5659-B5533 | Ilorin;.;B5659-B5533;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-5659;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4045-B4040;B4045-B4040 | Ibadan;.;B4045-B4040;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4045;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5611-B5612;B5611-B5612 | Ilorin;.;B5611-B5612;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-5611;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3586-B3943;B3586-B3943 | Ilorin;.;B3586-B3943;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-3586;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4115-B4135;B4115-B4135 | Ibadan;.;B4115-B4135;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4115;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5615-B5630;B5615-B5630 | Ibadan;.;B5615-B5630;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-5615;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3848-B5585;B3848-B5585 | Ilorin;.;B3848-B5585;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-3848;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4235-B4245;B4235-B4245 | Ilorin;.;B4235-B4245;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-4235;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4722-B4795;B4722-B4795 | Ilorin;.;B4722-B4795;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-4722;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4318-B3883;B4318-B3883 | Benin;.;B4318-B3883;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4318;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3901-B3902;B3901-B3902 | Ilorin;.;B3901-B3902;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-3901;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4119-B4136;B4119-B4136 | Ibadan;.;B4119-B4136;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-4119;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3438-B3361;B3438-B3361 | Ibadan;.;B3438-B3361;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9400 AWY;;EMT-3438;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3390-B3665;B3390-B3665 | Ilorin;.;B3390-B3665;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9500 MPT;;EMT-3390;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3371-B3456;B3371-B3456 | Ibadan;.;B3371-B3456;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3371;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B5193-B4044;B5193-B4044 | Ibadan;.;B5193-B4044;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-5193;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3367-B3470;B3367-B3470 | Ibadan;.;B3367-B3470;Priority_5;Ibadan;PDH Link;Ibadan;Alcatel-Lucent;9500 MPT;;EMT-3367;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4183-B4280;B4183-B4280 | Benin;.;B4183-B4280;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4183;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3321-B3459;B3321-B3459 | Ilorin;.;B3321-B3459;Priority_5;Ilorin;PDH Link;Ilorin;Alcatel-Lucent;9400 AWY;;EMT-3321;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B4344-B4213;B4344-B4213 | Benin;.;B4344-B4213;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-4344;Transmission;WTD/Microwave;Microwave;;;Deployed;;
EMTS NG;B3473-B4577;B3473-B4577 | Benin;.;B3473-B4577;Priority_5;Benin;PDH Link;Benin;Alcatel-Lucent;9500 MPT;;EMT-3473;Transmission;WTD/Microwave;Microwave;;;Deployed;;
