Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country;City;Latitude;Longitude;Maintenance Circle Name;Site Type;Location ID;Additional Site Details;Status
EMTS NG;EMT-3344;EMT-3344;Accessible 24/7;Ibadan;Ibadan;Olusanya Roundabout. Ring Road. Ibadan. Oyo State;Nigeria;Ibadan;7.377625;3.854654;;;;;Enabled
EMTS NG;EMT-2136;EMT-2136;TBD;Port Hacourt;Port Hacourt;Praise Centre Gospel Ministry, Eleuma Ahoada East, Rivers State;Nigeria;MBIAMA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-0336;EMT-0336;TBD;Ibadan;Ibadan;Oyo EMTS Shop - 270. Oyo Road. Mokola. Ibadan. Oyo State;Nigeria;Ibadan;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2137;EMT-2137;TBD;Port Hacourt;Port Hacourt;Ukeli road, Anwuri Compound Ndele, Rivers state.;Nigeria;NDELE;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2138;EMT-2138;TBD;Port Hacourt;Port Hacourt;Imeonite Havens, Ndoni, Rivers State;Nigeria;NDONI;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3404;EMT-3404;Accessible 24/7;Ibadan;Ibadan;ABIODUN ATIBA ROAD. BESIDES ST JAMES ANGLICAN CHURCH. OWODE. OY. OYO STATE;Nigeria;Ibadan;7.83563;3.92404;;;;;Enabled
EMTS NG;EMT-2140;EMT-2140;TBD;Port Hacourt;Port Hacourt;42 OGUTA ROAD,OBIAKPU OKWUGBA VILLAGE.OHAJI  EGBEMA LGA.IMO STATE;Nigeria;OHAJI EGBEMA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-2142;EMT-2142;TBD;Port Hacourt;Port Hacourt;Opposite P.O. & Egbema Hall,Omoku-Mmahu Road,Umuorji Egbema,Ohaji/Egbema LGA Imo State;Nigeria;OHAJI EGBEMA;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-0442;EMT-0442;TBD;Ibadan;Ibadan;Iseyin-Saki Road. Isale-Ago. Ipapo. Oyo State;Nigeria;Ibadan;16.86491;47.986998;Cat. B;;;;Enabled
EMTS NG;EMT-3422;EMT-3422;Restricted accessibility: Mo-Sat 8-17h;Ibadan;Ibadan;Winjobi Street. Orisunbare off Old Ife Road Ibadan. Oyo State;Nigeria;Ibadan;7.39292;3.94314;;;;;Enabled
EMTS NG;EMT-3472;EMT-3472;Accessible 24/7;Ibadan;Ibadan;Inside Kajola Market. Obanisola Area. Kojola.  Oyo-Ibadan Expressway. Oyo State;Nigeria;Ibadan;7.7903;3.918;;;;;Enabled
EMTS NG;EMT-4216;EMT-4216;Accessible 24/7;Benin;Benin;NO 37.OSABUOHIEN STREET OFF OMOGHUI OHOUBE QUARTERS BENIN CITY EDO STATE.;Nigeria;Benin;6.35292;5.690234;;;;;Enabled
